ID_Date;Lab_code;Laboratory;Age14C;SD14C;Date_type;Delta_13C;delta_13C_deviation;Measurement_note_Bratislava;Country;District;Civil_parish;Civil_parish_ID;Local_part;Site_name;Site_ID;Site_note;Context_name;Context_type;Context_structure;Activity_CZ;Activity_ENG;Site_category_CZ;Site_category_ENG;Context_dating;Contex_dating_AMCR;Dating_error;Description_of_dating_error;Context_note;Sample_name;Sample_material;Sample_species;Sample_note;Primary_Source;Secondary_Source;Latitude_WGS84;Longitude_WGS84;Localisation_accuracy
CzArch_1;Poz-41673;Poz;3345;30;conv. 14C BP;;;age determination based only on 14C date. the date dates the existence of lake in certain period;CZ;Brno-venkov;Blučina;605808;;Cézavy;14;;;layer;;síd;settlement;hradiště;hillfort;Early Bronze Age late phase;br.st;n;;borehole V0 absolute depth 390 cm;Blučina 3;mollusc shell;unpublished;water snail;Salaš M. - Dočkalová M. - Horáčková L. - Jarošová I. - Nedbalová J. - Nývltová Fišáková M. - Petřík J. - Roblíčková M. - Vargová L: Mladobronzová kumulace lidských skeletů na Cezavách u Blučiny (okr. Brno-venkov) a její enviromentální kontext. Památky archeologické 103 2012 173-231. (Page 220);Bratislava;49.051887;16.629824;site
CzArch_5;A-215;A;3040;45;conv. 14C BP;;;;CZ;Hlavní město Praha;Hostivař;732052;Hostivař;;192;;context 8125;layer;;síd;settlement;sídliště;settlement;Bronze Age;bronz;n;;cultural layer;;charcoal;unpublished;;Smejtek L. et al: Osídlení z doby bronzové v Kněževsi u Prahy. 1. text. . Praha 2011. (Figure 263 321);Bratislava;50.052464;14.529859;parish
CzArch_6;Bln-102;Bln;6285;100;conv. 14C BP;;;;CZ;Šumperk;Mohelnice;698032;;Štěrkovna / U cukrovaru;241;"site known in older literature as ""U cukrovaru""";feature 54 find number 17;unspecified feature;house;síd;settlement;sídliště;settlement;Linear Pottery Culture early phase;ne.lin;n;;on E side of the house nr. 12 (trench sunk 60 cm into loess loam quadrate 114) 1961 excavation (R. Tichý);;grain;Triticum dicoccum;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements I. Radiocarbon 6 1964 308-317. (Page 315);Bratislava;49.776686;16.950669;site
CzArch_7;Bln-102a;Bln;6405;100;conv. 14C BP;;;;CZ;Šumperk;Mohelnice;698032;;Štěrkovna / U cukrovaru;241;"site known in older literature as ""U cukrovaru""";feature 54 find number 17;unspecified feature;house;síd;settlement;sídliště;settlement;Linear Pottery Culture early phase;ne.lin;n;;on E side of the house nr. 12 (trench sunk 60 cm into loess loam quadrate 114) 1961 excavation (R. Tichý);;grain;unpublished;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements I. Radiocarbon 6 1964 308-317. (Page 315);Bratislava;49.776686;16.950669;site
CzArch_11;Bln-1165;Bln;4670;80;conv. 14C BP;;;the site was previously (before the 19th Century) a wet meadow;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 141 (4/1972);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;hillfort;;charcoal;Quercus sp.;published with question mark in the secondary source;Pavelčík J: Příspěvek k absolutnímu datování osady lidu s kanelovanou keramikou v Hlinsku nad Bečvou. Časopis Slezského zemského muzea Série B 41 1992 193-195. (Page 1 194);Bratislava;49.502505;17.585311;site
CzArch_12;Bln-1166;Bln;4670;80;conv. 14C BP;;;the site was previously (before the 19th Century) a wet meadow;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 156 (19/1972);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;hillfort;;charcoal;Quercus sp.;published with question mark in the secondary source;Pavelčík J: Příspěvek k absolutnímu datování osady lidu s kanelovanou keramikou v Hlinsku nad Bečvou. Časopis Slezského zemského muzea Série B 41 1992 193-195. (Page 1 194);Bratislava;49.502505;17.585311;site
CzArch_13;Bln-1167;Bln;2525;80;conv. 14C BP;;;"date problematic - expected age was Aeneolithic (Baden culture phase Ia) neither finds nor features from large excavated area from the 1st Millenium after Pavelčík the find (\""post\"") could be explained as a charred root of the oak growing there in the 1st Millenium BC. the site was previously (before the 19th Century) a wet meadow";CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;K-5/1971-72;post hole;;síd;settlement;hradiště;hillfort;Late Bronze Age Hallstatt Period Reinecke HB;br.m-h;y;unexpected date;hillfort in trench S 17 in the foundation of the fortification but probably not relating with the fortification;;charcoal;Quercus sp.;from the roots of the tree;Pavelčík J: Příspěvek k absolutnímu datování osady lidu s kanelovanou keramikou v Hlinsku nad Bečvou. Časopis Slezského zemského muzea Série B 41 1992 193-195. (Page 1 1 1 1 1 1 1 194 194 194 194 194 194 194);Bratislava;49.502505;17.585311;site
CzArch_14;Bln-1167-A;Bln;2440;80;conv. 14C BP;;;"date problematic - expected age was Aeneolithic (Baden culture phase Ia) neither finds nor features from large excavated area from the 1st Millenium after Pavelčík the find (\""post\"") could be explained as a charred root of the oak growing there in the 1st Millenium BC. the site was previously (before the 19th Century) a wet meadow";CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;K-5/1971-72;post hole;;síd;settlement;hradiště;hillfort;Late Bronze Age Hallstatt Period Reinecke HB;br.m-h;y;unexpected date;hillfort in trench S 17 in the foundation of the fortification but probably not relating with the fortification;;charcoal;Quercus sp.;from the roots of the tree;Pavelčík J: Příspěvek k absolutnímu datování osady lidu s kanelovanou keramikou v Hlinsku nad Bečvou. Časopis Slezského zemského muzea Série B 41 1992 193-195. (Page 1 1 1 1 1 1 1 194 194 194 194 194 194 194);Bratislava;49.502505;17.585311;site
CzArch_15;Bln-118;Bln;665;100;conv. 14C BP;;;no potsherds associated connection to a Hallstatt period burial place not demonstrable;CZ;Hodonín;Tvarožná Lhota;771988;;;83;;;hearth;;síd;settlement;unpublished;unpublished;Hallstatt Period Middle Ages;halsta;y;no artefact associated;not clear whether related to a grave;;charcoal;Quercus sp.;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements I. Radiocarbon 6 1964 308-317. (Page 315);Bratislava;48.861793;17.379157;parish
CzArch_16;Bln-1244;Bln;4955;80;conv. 14C BP;;;date problematic;CZ;Znojmo;Kyjovice;678554;;Sutny;270;site known as Těšetice-Kyjovice;;ditch;circular enclosure;kul;ritual;ohraz.kruh.vel.;large circular enclosure;Lengyel Culture phase I phase Ia;ne.len;n;;ditch of a rondel;;charcoal;unpublished;;Podborský V: Hlavní výsledky v Těšeticích-Kyjovicích za léta 1964-1974. In: : Sborník prací Filozofické fakulty Brněnské univerzity - Sympozium Těšetice-Kyjovice 1974. E 20-21 1975-1975. Brno 1976 175-184.;Bratislava;48.899323;16.135684;site
CzArch_17;Bln-1396;Bln;4770;60;conv. 14C BP;;;the original 14C date published by J. Pavelčík (4675 +- 60 BP) was corrected by A. de Capitani 2002 (4770 ± 60 BP) - see Furholt 2009. the site was previously (before the 19th Century) a wet meadow;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 213 (4/1974);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;;;charcoal;Quercus sp.;;Furholt M: Die nördlichen Badener Keramikstile im Kontext des mitteleuropäischen Spätneolithikums (3650 - 2900 v. Chr.). Studien zur Archäologie in Ostmitteleuropa 3 / Studia nad Pradziejami Europy Środkowej 3. Bonn 2009.;Bratislava;49.503908;17.586002;site
CzArch_18;Bln-1396-A;Bln;4775;60;conv. 14C BP;;;the site was previously (before the 19th Century) a wet meadow;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 213 (4/1974);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;;Pod hradem C sol. fraction;charcoal;unpublished;;Pavelčík J: Příspěvek k absolutnímu datování osady lidu s kanelovanou keramikou v Hlinsku nad Bečvou. Časopis Slezského zemského muzea Série B 41 1992 193-195. (Page 1 194);Bratislava;49.503908;17.586002;site
CzArch_19;Bln-1397;Bln;4675;60;conv. 14C BP;;;;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 213 (4/1974);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;;Pod hradem C sol. fraction;charcoal;unpublished;;Pavelčík J: Keramika horizontu I z Hlinska u Lupníku nad Bečvou. Pravěk Nová Řada 3 1993 79-141.;Bratislava;49.503908;17.586002;site
CzArch_20;Bln-2064;Bln;5940;60;conv. 14C BP;;;measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;60;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;n;;cremation grave;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_21;Bln-2065;Bln;6295;100;conv. 14C BP;;;measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;68;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;n;;cremation grave situated next to the pit of Linear Pottery Culture;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_22;Bln-2066;Bln;5900;60;conv. 14C BP;;;measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;68;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;n;;cremation grave situated next to the pit of Linear Pottery Culture;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_23;Bln-2067;Bln;5325;50;conv. 14C BP;;;;CZ;Znojmo;Maršovice;659436;;Na Kocourkách;271;"in primary source as ""Jezeřany-Maršovice""";;;;unpublished;unpublished;unpublished;unpublished;Lengyel Culture;ne.len;n;;;;unpublished;unpublished;;Peška J. Záhady moravské archeologie aneb problémy absolutního datování vybraných nálezových souborů. SPFFBU Sborník prací Filozofické fakulty brněnské univerzity. M Řada archeologická 2009-2010 roč. 58-59 č. M14-15 178–211 (2011).;RADON;49.043625;16.416631;site
CzArch_24;Bln-2068;Bln;5040;50;conv. 14C BP;;;;CZ;Znojmo;Maršovice;659436;;Na Kocourkách;271;;feature 10;pit;;síd;settlement;sídliště;settlement;Lengyel Culture phase IV phase IIb;ne.len;n;;;;bone / tooth;undetermined animal bone;;Kuča M. - Přichystal A. - Schenk Z. - Škrdla P. - Vokáč M: Lithic raw material procurement in the Moravian Neolithic: the search for extra-regional networks. Documenta Praehistorica 36 2009 313-326. (Page 1 321);Bratislava;49.043625;16.416631;site
